timestamp,open,high,low,close,volume
2024-04-19T00:00:00Z,63509.76953125,63509.76953125,62796.10546875,62796.10546875,0.0
2024-04-19T01:00:00Z,62739.12109375,62755.0625,60927.67578125,61041.4140625,2125549568.0
2024-04-19T02:00:00Z,61043.54296875,61160.9921875,59698.5078125,60944.7578125,3112185856.0
2024-04-19T03:00:00Z,61357.6484375,62019.984375,61269.12109375,61830.0859375,1915465728.0
2024-04-19T04:00:00Z,61803.19140625,62717.94140625,61803.19140625,62432.3671875,1106833408.0
2024-04-19T05:00:00Z,62453.3828125,62578.53515625,61840.19140625,62062.59375,445657088.0
2024-04-19T06:00:00Z,62099.79296875,64740.53515625,61895.2578125,64579.44921875,2617409536.0
2024-04-19T07:00:00Z,64580.44140625,64864.1953125,64290.4453125,64555.13671875,2019180544.0
2024-04-19T08:00:00Z,64585.18359375,65114.53515625,64279.62109375,64615.4921875,1209966592.0
2024-04-19T09:00:00Z,64669.8359375,64944.859375,64545.00390625,64799.60546875,446668800.0
2024-04-19T10:00:00Z,64821.3046875,65142.390625,64529.45703125,64777.26171875,466690048.0
2024-04-19T11:00:00Z,64801.19140625,65415.09765625,64783.50390625,64961.59765625,0.0
2024-04-19T12:00:00Z,64931.46875,65462.79296875,64878.0390625,65012.58203125,0.0
2024-04-19T13:00:00Z,65039.59765625,65061.02734375,64559.171875,64999.890625,230125568.0
2024-04-19T14:00:00Z,64951.9140625,64988.15625,63961.44140625,64507.65625,0.0
2024-04-19T15:00:00Z,64477.36328125,64714.50390625,64419.65234375,64498.1796875,0.0
2024-04-19T16:00:00Z,64471.3515625,64548.50390625,63594.19921875,64014.4453125,609488896.0
2024-04-19T17:00:00Z,64021.203125,64764.9140625,64011.75,64678.671875,274472960.0
2024-04-19T18:00:00Z,64687.234375,64687.234375,64193.6328125,64266.94140625,0.0
2024-04-19T19:00:00Z,64207.12109375,64379.81640625,64112.640625,64359.90234375,0.0
2024-04-19T20:00:00Z,64334.8046875,64334.8046875,63727.2890625,64006.3359375,0.0
2024-04-19T21:00:00Z,64028.23046875,64437.53515625,64028.23046875,64383.2109375,0.0
2024-04-19T22:00:00Z,64418.5546875,64508.26171875,64067.88671875,64107.20703125,0.0
2024-04-19T23:00:00Z,64052.80078125,64117.41015625,63214.65625,63851.1015625,1206992896.0
2024-04-20T00:00:00Z,63841.8359375,64210.0390625,63499.68359375,63585.63671875,438251520.0
2024-04-20T01:00:00Z,63503.0546875,63773.64453125,63225.32421875,63754.84765625,0.0
2024-04-20T02:00:00Z,63715.0546875,64090.6875,63591.7421875,63869.25390625,0.0
2024-04-20T03:00:00Z,63866.6328125,64046.16015625,63820.42578125,63966.640625,0.0
2024-04-20T04:00:00Z,63983.5,64260.6171875,63901.828125,64207.0546875,0.0
2024-04-20T05:00:00Z,64166.8671875,64271.1953125,64044.10546875,64203.1484375,0.0
2024-04-20T06:00:00Z,64194.29296875,64234.02734375,64014.875,64111.265625,0.0
2024-04-20T07:00:00Z,64079.73046875,64162.046875,63986.28125,63994.24609375,0.0
2024-04-20T08:00:00Z,63999.109375,64005.7421875,63722.5,63746.34375,0.0
2024-04-20T09:00:00Z,63753.11328125,63782.171875,63345.98828125,63671.9375,0.0
2024-04-20T10:00:00Z,63640.91796875,63752.03515625,63446.66015625,63594.33203125,0.0
2024-04-20T11:00:00Z,63596.78515625,63905.69140625,63593.98828125,63722.47265625,0.0
2024-04-20T12:00:00Z,63726.828125,63924.3046875,63616.4921875,63868.84375,0.0
2024-04-20T13:00:00Z,63854.40234375,64011.6171875,63834.1640625,63900.265625,0.0
2024-04-20T14:00:00Z,63893.66015625,63980.45703125,63796.515625,63956.04296875,0.0
2024-04-20T15:00:00Z,63959.1796875,64930.3125,63836.75390625,64804.671875,0.0
2024-04-20T16:00:00Z,64828.62109375,64938.78125,64548.421875,64810.671875,0.0
2024-04-20T17:00:00Z,64797.8046875,65408.46484375,64797.8046875,65240.46484375,13580288.0
2024-04-20T18:00:00Z,65244.2578125,65330.515625,64953.765625,64998.45703125,0.0
2024-04-20T19:00:00Z,65006.27734375,65017.43359375,64841.51953125,64885.1875,0.0
2024-04-20T20:00:00Z,64897.37890625,65014.59765625,64702.6328125,64745.08203125,0.0
2024-04-20T21:00:00Z,64747.52734375,64846.3046875,64690.01953125,64690.01953125,0.0
2024-04-20T22:00:00Z,64733.921875,64780.90625,64593.06640625,64684.80078125,0.0
2024-04-20T23:00:00Z,64668.4296875,65012.58203125,64668.4296875,65012.58203125,0.0
2024-04-21T00:00:00Z,64983.53125,64983.53125,64666.3515625,64804.53515625,0.0
2024-04-21T01:00:00Z,64794.14453125,65110.37109375,64794.14453125,64982.33203125,0.0
2024-04-21T02:00:00Z,64978.57421875,65386.65234375,64978.57421875,65346.3515625,0.0
2024-04-21T03:00:00Z,65338.7421875,65693.671875,65165.02734375,65196.6796875,494245888.0
